UNIVERSITY_ID (FK),CAMPUS_ID (FK),STUDENT_NUMBER,TITLE,FIRST_NAME,PREFERRED_NAME,LAST_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,POSTCODE,STATE,COUNTRY,DATE_OF_BIRTH,PHONE_NUMBER,STUDENT_EMAIL,GENDER,BSB,ACCOUNT_NUMBER,FIELD_OF_STUDY_CODE,COUNTRY_OF_BIRTH,INDIGENOUS_AUSTRALIAN,DISABILITY,AUS_CITIZEN,CITIZENS_PR,NOTES
6,6,34180571,Mr,Henna,Henna,Norman,081 Christopher Trail,null,South Molle,2850,QLD,Australia,26/01/2001,444700037,34180571@student.deakin.edu.au,Male,38004,490682301,Bachelor of Law,Australia,no,no,yes,0,null
1,1,25657005,Mrs,John-James,John-James,Mccarthy,45 Jerde Grove,null,Coolbaggie,2850,NSW,Australia,3/11/2000,447976156,25657005@student.uwa.edu.au,Female,21174,373506103,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,47540679,Mrs,Gordon,Gordon,Blanchard,4881 Mckenzie Parkway,null,Hampden Hall,2875,NSW,Australia,12/07/2000,445598403,47540679@student.unsw.edu.au,Male,44884,352172984,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,41458043,Mr ,Derek,null,Meyers,303 Lauren Track,null,Darley,3340,VIC,Australia,14/03/2001,488292662,41458043@student.usc.edu.au,Male,33236,427242219,Bachelor of Commerce,Australia,yes,no,yes,1,null
1,1,40933934,Mrs,Doris,null,Monaghan,9126 Stella Grove,null,Toorbul,3352,QLD,Australia,26/10/1999,481095667,40933934@student.uwa.edu.au,Male,41661,356045842,Bachelor of Commerce,Australia,null,null,yes,0,null
4,4,23628472,Mr,Brandy,null,Mcdermott,41 Russel Crescent,null,The Gap,3357,SA,Australia,4/11/1998,456371051,23628472@student.curtin.edu.au,Female,20608,480418640,Bachelor of Science,Australia,null,no,yes,1,null
4,3,31059356,Mrs,Lewis,null,Wheatley,00 Bauch Pass,null,Ravenswood,3453,VIC,Australia,17/07/2001,472087898,31059356@student.curtin.edu.au,Female,16703,493370530,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,23670644,Mrs,Craig,Craig,Wong,91 Luca Ridge,null,Ludlow,3737,WA,Australia,16/09/1997,452654747,23670644@student.deakin.edu.au,Male,18242,470875466,Bachelor of Law,Australia,no,no,yes,0,null
1,1,25634051,Mr ,Rianna,Rianna,Robles,56 Chase Trail,null,Humeburn,3851,QLD,Australia,5/05/1996,460269994,25634051@student.uwa.edu.au,Female,35925,437509567,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,27058415,Mrs,Maya,Maya,Duran,3294 Koss Island,null,Borrika,3874,SA,Australia,14/06/2002,432720459,27058415@student.unsw.edu.au,Male,25969,481186183,Bachelor of Biomedical Science,Australia,null,no,yes,0,null
5,5,29787972,Mr,Braden,Braden,Whitfield,7297 Kayla Mews,null,Legerwood,3984,TAS,Australia,4/04/1997,452102989,29787972@student.usc.edu.au,Male,25600,351486093,Bachelor of Commerce,Australia,yes,no,yes,0,null
1,1,47756355,Mrs,Rogan,null,Macleod,4754 Xavier Way,null,Yaamba,4127,QLD,Australia,2/12/1997,435932239,47756355@student.uwa.edu.au,Male,43875,373641546,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,44189825,Mrs,Nabilah,null,Fitzgerald,59 Hills Crescent,null,Macknade,4217,QLD,Australia,17/06/1995,475798011,44189825@student.curtin.edu.au,Female,25215,478252264,Bachelor of Science,Australia,null,no,yes,1,null
4,3,27910447,Mr ,Ethel,null,Haworth,478 Leah Terrace,null,Broughton Vale,4224,NSW,Australia,8/10/2001,435124417,27910447@student.curtin.edu.au,Female,22759,361173948,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,34065686,Mrs,Kaia,null,Fenton,56 Layla Parkway,null,Gabalong,4490,WA,Australia,4/06/2002,442824801,34065686@student.deakin.edu.au,Male,14099,375075391,Bachelor of Law,Australia,no,no,yes,1,null
1,1,32250131,Mr,Zakk,null,Mathis,7287 Hyatt Junction,null,San Remo,4510,WA,Australia,8/11/2000,450151906,32250131@student.uwa.edu.au,Female,16008,485449797,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,34266612,Mrs,Sinead,null,Singh,084 Aidan Place,null,Tully,4612,QLD,Australia,17/01/1995,464869981,34266612@student.unsw.edu.au,Male,15639,499858048,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,43440723,Mrs,Ellena,null,Calderon,94 Beatty View Rd,null,Tugun Heights,4627,QLD,Australia,6/11/1995,455072970,43440723@student.usc.edu.au,Male,33387,445849560,Bachelor of Commerce,Australia,yes,no,yes,1,null
1,1,35593557,Mr ,Macauly,null,Hubbard,00 Sienna Loop,null,Woodcroft,4650,SA,Australia,8/12/2002,434327617,35593557@student.uwa.edu.au,Male,22459,456587391,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,28688464,Mrs,Erin,Erin,Sierra,103 Stewart Summit,null,Buninyong,4659,VIC,Australia,31/03/2000,465774083,28688464@student.curtin.edu.au,Female,42267,414264832,Bachelor of Science,Australia,null,no,yes,1,null
4,3,25671206,Mr,Frederic,Frederic,Bowen,15 Morgan Manor,null,Kooragang,4660,NSW,Australia,7/08/1995,465612269,25671206@student.curtin.edu.au,Female,14809,369204249,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,34562380,Mrs,Reiss,Reiss,Ball,652 Kuhn Terrace,null,Geraldton,4702,WA,Australia,15/10/1997,477091069,34562380@student.deakin.edu.au,Male,42208,458129187,Bachelor of Law,Australia,no,no,yes,1,null
1,1,26034410,Mrs,Jagdeep,Jagdeep,Underwood,28 Grady Drive,null,Landervale,4704,NSW,Australia,20/03/1997,458747065,26034410@student.uwa.edu.au,Female,36875,382198591,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,46659219,Mr ,Pooja,Pooja,Bender,00 Victoria Circle,null,South Springfield,4722,TAS,Australia,22/10/1997,453322626,46659219@student.unsw.edu.au,Male,18792,400721424,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,40465710,Mrs,Tomos,Tomos,Mccarty,95 Caleb Square,null,Gold Coast Mc,4741,QLD,Australia,22/11/2000,453559076,40465710@student.usc.edu.au,Male,45138,469893740,Bachelor of Commerce,Australia,yes,no,yes,1,null
1,1,28780995,Mr,Stefano,Stefano,Golden,47 Ernser Summit,null,Lowesdale,4850,NSW,Australia,12/11/2000,482702383,28780995@student.uwa.edu.au,Male,35380,423386180,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,30108177,Mrs,Ieuan,Ieuan,Novak,5410 Abbott Way,null,Stokers Siding,4854,NSW,Australia,17/03/1997,430087812,30108177@student.curtin.edu.au,Female,28631,358605706,Bachelor of Science,Australia,null,no,yes,1,null
4,3,44595828,Mrs,Leland,Leland,Christian,0335 Zara Parkway,null,Springsure,5118,QLD,Australia,11/09/1996,446451758,44595828@student.curtin.edu.au,Female,22426,391687917,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,37581792,Mr ,Beatriz,null,Piper,0939 Jackson Court,null,Jagumba,5162,NSW,Australia,19/06/1995,478208355,37581792@student.deakin.edu.au,Male,46184,454952179,Bachelor of Law,Australia,no,no,yes,1,null
1,1,25193183,Mrs,Sultan,null,Ochoa,27 Lauren Square,null,Carrajung South,5271,VIC,Australia,22/04/2002,473824564,25193183@student.uwa.edu.au,Female,28748,451023806,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,27498910,Mr,Finbar,null,Dunne,096 Jade Meadow,null,Wonnangatta,5309,VIC,Australia,21/02/2001,464063200,27498910@student.unsw.edu.au,Male,44922,445598900,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,40291405,Mrs,Jacques,null,Pineda,3837 Lincoln Plaza,null,Smoky Creek,5522,QLD,Australia,5/01/2000,457665504,40291405@student.usc.edu.au,Male,14360,426380203,Bachelor of Commerce,Australia,yes,no,yes,1,null
1,1,37517620,Mrs,Hamid,Hamid,Maxwell,076 Goodwin Summit,null,Uarbry,6167,NSW,Australia,18/09/1998,471649695,37517620@student.uwa.edu.au,Male,20228,450649394,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,32088118,Mr ,Shah,Shah,Needham,3526 Gabriel Island,null,Coolbaggie,6210,NSW,Australia,13/02/2000,475790215,32088118@student.curtin.edu.au,Female,16780,390613246,Bachelor of Science,Australia,null,no,yes,1,null
4,3,47775937,Mrs,Dilan,Dilan,Sanchez,96 Lauren Run,null,Corindhap,6260,VIC,Australia,19/10/1996,464324604,47775937@student.curtin.edu.au,Female,43979,396037119,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,35792089,Mr,Alexis,null,Avalos,8253 Miller Drive,null,Riverstone,6280,NSW,Australia,21/05/1995,439421911,35792089@student.deakin.edu.au,Male,12627,430477666,Bachelor of Law,Australia,no,no,yes,1,null
1,1,29368409,Mrs,Tayah,null,Philip,10 Maddison Lane,null,Blacktown,6337,NSW,Australia,10/02/1995,435846542,29368409@student.uwa.edu.au,Female,25822,468008572,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,34640189,Mrs,Carlos,null,Horne,7634 Stokes Crest,null,Burrum Heads,6530,QLD,Australia,21/04/1998,439949455,34640189@student.unsw.edu.au,Male,12863,389522899,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,27408005,Mr ,Jan,null,Schofield,641 Tremblay Loop,null,Kingsway West,6568,NSW,Australia,22/03/1996,449718053,27408005@student.usc.edu.au,Male,27397,371936738,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,22762041,Mrs,Ernie,null,Sutherland,795 Rohan Junction,null,Queensferry,6574,VIC,Australia,20/09/2001,487102105,22762041@student.uwa.edu.au,Male,44785,437863814,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,39745415,Mr,Billy-Joe,null,Ashton,362 Justin Drive,null,Yarrabin,7109,NSW,Australia,9/05/2001,452452442,39745415@student.curtin.edu.au,Female,37146,360626640,Bachelor of Science,Australia,null,no,yes,1,null
4,3,41129979,Mrs,Max,null,Jefferson,0755 Lucas Boulevard,null,Silverdale,7260,NSW,Australia,11/03/1998,454464690,41129979@student.curtin.edu.au,Female,20624,371277109,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,37370457,Mrs,Rizwan,Rizwan,Houston,916 Mackenzie Grove,null,Fisherman Bay,7263,SA,Australia,20/08/1998,457954834,37370457@student.deakin.edu.au,Male,30591,492276782,Bachelor of Law,Australia,no,no,yes,1,null
1,1,22737593,Mr ,Amayah,Amayah,Haines,50 Jerde Street,null,Merrinee,3496,VIC,Australia,6/04/1999,450766535,22737593@student.uwa.edu.au,Female,20696,453489679,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,44239670,Mrs,Siya,Siya,Macgregor,11 Johnson Lane,null,Wuk Wuk,3875,VIC,Australia,25/04/1996,454000901,44239670@student.unsw.edu.au,Male,31776,457995752,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,43584799,Mr,Safiya,Safiya,Warner,87 Amelie Loop,null,South Preston,7315,TAS,Australia,26/09/1999,441457744,43584799@student.usc.edu.au,Male,49301,433202225,Master of Mechanical Engineering,Australia,yes,no,yes,0,null
1,1,25685682,Mrs,Felicity,Felicity,Robbins,124 Kutch Square,null,Corop,3559,VIC,Australia,31/12/2002,460065718,25685682@student.uwa.edu.au,Male,33280,439787426,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,36984450,Mrs,Neal,Neal,Horton,91 Alexandra Meadow,null,Taree West,2430,NSW,Australia,21/12/1996,439500229,36984450@student.curtin.edu.au,Female,39242,421142192,Bachelor of Science,Australia,null,no,yes,0,null
4,3,29034872,Mr ,Mehdi,Mehdi,Esquivel,4671 Jayden Circuit,null,Larapinta,4110,QLD,Australia,17/09/1995,458239839,29034872@student.curtin.edu.au,Female,20596,415525263,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,32645900,Mrs,Ray,Ray,Todd,169 Sam Mews,null,Mapoon,4874,QLD,Australia,20/10/1996,439257030,32645900@student.deakin.edu.au,Male,37623,404410939,Bachelor of Law,Australia,no,no,yes,1,null
1,1,45998087,Mr,Troy,Troy,Riddle,33 Collier Island,null,Manton,2581,NT,Australia,28/02/2000,470676044,45998087@student.uwa.edu.au,Female,24790,418942083,Bachelor of Arts,Australia,no,null,yes,0,Peanut allergy
2,2,28162508,Mrs,Shanay,Shanay,Mcarthur,344 Collins Summit,null,Bremer,4305,QLD,Australia,26/08/1995,438293742,28162508@student.unsw.edu.au,Male,22667,453590390,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,36671499,Mrs,Ozan,Ozan,Connelly,4303 Audrey Plaza,null,Glenside,5065,SA,Australia,22/06/2000,449826718,36671499@student.usc.edu.au,Male,22082,471686505,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,33512128,Mr ,Raiden,Raiden,Greig,072 Shields Track,null,Hervey Bay Dc,4655,QLD,Australia,18/08/2000,473019111,33512128@student.uwa.edu.au,Male,32618,456181748,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,27843970,Mrs,Hugh,null,Mair,4835 Chase Knoll,null,Birkdale,4159,QLD,Australia,6/09/2001,486474922,27843970@student.curtin.edu.au,Female,20835,405836619,Bachelor of Science,Australia,null,no,yes,0,null
4,3,26516457,Mr,Arbaaz,null,May,40 Huel Place,null,Cullya,2800,NSW,Australia,20/05/2000,454660489,26516457@student.curtin.edu.au,Female,14496,358490124,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,29135196,Mrs,Carlton,null,Tomlinson,90 Thomas Hill,null,Crowther Island,2460,NSW,Australia,3/03/1995,438712637,29135196@student.deakin.edu.au,Male,19465,446655676,Bachelor of Law,Australia,no,no,yes,1,null
1,1,30536353,Mrs,Tre,null,Costa,81 Donnelly Circle,null,Townsend,2463,NSW,Australia,17/08/2002,458397733,30536353@student.uwa.edu.au,Female,48709,369632850,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,40673371,Mr ,Aedan,null,Bright,3317 Reid Lane,null,Lewisham,7173,TAS,Australia,20/02/1996,430384121,40673371@student.unsw.edu.au,Male,26750,360176181,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,38717994,Mrs,Sanna,null,Rayner,05 Keeling Station St,null,Nerrina,3350,VIC,Australia,4/06/2002,465195690,38717994@student.usc.edu.au,Male,40697,447173360,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,45988944,Mr,Maison,null,Rowland,440 Nicholas Parade,null,Einasleigh,4871,QLD,Australia,2/09/2002,454818003,45988944@student.uwa.edu.au,Male,49395,394849064,Bachelor of Commerce,Australia,null,null,yes,0,null
4,4,32288736,Mrs,Michele,null,Stevens,624 Amelia Island,null,Lanskey,4825,QLD,Australia,20/04/1998,444032033,32288736@student.curtin.edu.au,Female,17872,370462544,Bachelor of Science,Australia,null,no,yes,1,null
4,3,34979587,Mrs,Imaan,null,Klein,18 Hunter Estate Dr,null,Wyangala,2808,NSW,Australia,11/11/2001,467454774,34979587@student.curtin.edu.au,Female,40387,368484386,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,44725832,Mr ,Debra,Debra,Washington,840 Mason View Rd,null,Mortlake,3272,VIC,Australia,24/07/1997,441833822,44725832@student.deakin.edu.au,Male,24707,379082719,Bachelor of Law,Australia,no,no,yes,0,null
1,1,25737236,Mrs,Marie,Marie,Wise,287 Eli View Rd,null,Eidsvold East,4627,QLD,Australia,31/03/2002,452916719,25737236@student.uwa.edu.au,Female,17829,445178819,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,32746592,Mr,Tadhg,Tadhg,Daniel,89 Nicholas Street,null,Carpendeit,3260,VIC,Australia,13/01/1999,482180702,32746592@student.unsw.edu.au,Male,48649,450717481,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,24115835,Mrs,Tobias,Tobias,Pugh,26 Emily Station St,null,Watsons Creek,2355,NSW,Australia,17/02/1997,435704141,24115835@student.usc.edu.au,Male,25410,391428590,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,34328145,Mrs,Daria,Daria,Farrow,21 Hayley Parkway,null,Kawl Kawl,4612,QLD,Australia,17/10/1998,444351712,34328145@student.uwa.edu.au,Male,22617,369764534,Bachelor of Commerce,Australia,null,null,yes,0,null
4,4,46069127,Mr ,Murat,Murat,Dickens,65 Piper Crest,null,Mcphersons Crossing,2460,NSW,Australia,31/03/2000,437811147,46069127@student.curtin.edu.au,Female,16169,465869009,Bachelor of Science,Australia,null,no,yes,1,null
4,3,24813921,Mrs,Ansh,Ansh,Wilkins,3419 Jessica Mall,null,Koroop,3579,VIC,Australia,4/09/1996,472813766,24813921@student.curtin.edu.au,Female,32940,423794557,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,31517341,Mr,Patricia,Patricia,Sheppard,4306 Wolf Mall,null,Cleveland,2530,NSW,Australia,28/09/2002,457423910,31517341@student.deakin.edu.au,Male,28840,376782435,Bachelor of Law,Australia,no,no,yes,0,null
1,1,41160049,Mrs,Floyd,Floyd,Neville,749 King Road,null,Naring,3636,VIC,Australia,2/06/1999,476904020,41160049@student.uwa.edu.au,Female,23195,457691759,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,39553178,Mrs,Kieran,null,Barton,259 Nicolas Junction,null,Little Jilliby,2259,NSW,Australia,27/04/1997,447221142,39553178@student.unsw.edu.au,Male,14025,371274555,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,38679148,Mr ,Georga,null,Penn,7213 Jade Pass,null,Humeburn,4490,QLD,Australia,15/10/1998,458712021,38679148@student.usc.edu.au,Male,32588,357122363,Master of Mechanical Engineering,Australia,yes,no,yes,0,null
1,1,31109351,Mrs,Patrik,null,Adkins,7016 Wood Ridge,null,Police Point,7116,TAS,Australia,3/09/2000,479055259,31109351@student.uwa.edu.au,Male,19053,494359503,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,33527694,Mr,Tonisha,null,Krueger,1966 Amber Crescent,null,Maslin Beach,5170,SA,Australia,31/08/2002,467922493,33527694@student.curtin.edu.au,Female,41858,480108007,Bachelor of Science,Australia,null,no,yes,0,null
4,3,39055866,Mrs,Emmett,null,Flores,72 Baumbach Knoll,null,Kevington,3723,VIC,Australia,6/05/2002,482689992,39055866@student.curtin.edu.au,Female,19600,476577806,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,23902984,Mrs,Ariah,null,Holding,755 Cassin Crest,null,Waterloo,6228,WA,Australia,16/01/1995,454531934,23902984@student.deakin.edu.au,Male,43904,403938948,Bachelor of Law,Australia,no,no,yes,1,null
1,1,46389105,Mr ,Nikola,null,Joyce,32 Blake Island,null,Oxford,4742,QLD,Australia,29/05/2002,460053848,46389105@student.uwa.edu.au,Female,22685,362953258,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,45727888,Mrs,Codie,Codie,Mcmanus,8378 Zoe Circle,null,East Lynne,2536,NSW,Australia,22/10/2001,488285587,45727888@student.unsw.edu.au,Male,41329,491011321,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,27784907,Mr,Raphael,Raphael,Humphreys,9621 Holly Drive,null,Gorge Creek,2469,NSW,Australia,15/06/2001,464253546,27784907@student.usc.edu.au,Male,21493,457947675,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,35512504,Mrs,Khadeejah,Khadeejah,Hewitt,71 Eve Circle,null,Wilgoyne,6479,WA,Australia,5/06/2002,435864298,35512504@student.uwa.edu.au,Male,41122,373423468,Bachelor of Commerce,Australia,null,null,yes,0,null
4,4,45591183,Mrs,Andreea,Andreea,William,32 Ellie Knoll,null,Kingaroy Dc,4610,QLD,Australia,4/03/2002,482221608,45591183@student.curtin.edu.au,Female,16822,494112161,Bachelor of Science,Australia,null,no,yes,1,null
4,3,22552257,Mr ,Gurdeep,Gurdeep,Stott,7912 Cooper Mall,null,Glenside,5065,SA,Australia,8/09/2000,478018238,22552257@student.curtin.edu.au,Female,33785,432232172,Bachelor of Philosophy,Australia,yes,yes,no,0,null
6,6,29194847,Mrs,Domonic,Domonic,Goodman,925 Angus Ridge,null,Sassafras,2622,NSW,Australia,3/08/1997,442701360,29194847@student.deakin.edu.au,Male,32771,386797462,Bachelor of Law,Australia,no,no,yes,1,null
1,1,29166998,Mr,Rhonda,null,Gardner,375 Nicholas Boulevard,null,Pinery,5460,SA,Australia,9/01/2001,466402499,29166998@student.uwa.edu.au,Female,46458,449712536,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,28915104,Mrs,Haydon,Haydon,Richmond,780 Davies Crest,null,Rocklea,4106,QLD,Australia,4/03/1998,477911004,28915104@student.unsw.edu.au,Male,43922,385069217,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,24422079,Mrs,Teigan,null,Hebert,12 Quinn Crescent,null,Cobram East,3644,VIC,Australia,21/05/1998,486781777,24422079@student.usc.edu.au,Male,44342,369408137,Master of Mechanical Engineering,Australia,yes,no,yes,0,null
1,1,35224134,Mr ,Siyana,null,Pitt,6245 Lewis Run,null,Sutton Forest,2577,NSW,Australia,26/12/1995,478264295,35224134@student.uwa.edu.au,Male,33079,444677863,Bachelor of Commerce,Australia,null,null,yes,1,null
