START_DATE,END_DATE,PERIOD,PROGRAM_ID (FK),STUDENT_ID (FK),UNIVERSITY_ID (FK),CAMPUS_ID (FK),GRANT_TYPE,AWARDED,FORMS_RECEIVED,YEAR_UNDERTAKEN,UWA_BUSINESS_UNIT,PAYMENT_DATE,PAYMENT_AMOUNT,UWA_ACCOUNT_NUMBER,FUNDING_ROUND,DESCRIPTION
28/02/2019,27/05/2019,Semester 1,3,65,4,4,Mobility,no,no,2019,99910,31/12/2019,2000,672,2019,COOLEY 2019 ASP NCP GRANT
28/02/2020,27/05/2020,Semester 1,3,62,2,1,Mobility,no,no,2020,99910,22/04/2018,5000,672,2018,AVALOS 2020 DSPP NCP GRANT
25/07/2020,12/11/2020,Semester 2,3,3,4,3,Mobility,no,no,2020,99910,10/09/2018,5000,672,2018,PHILIP 2018 DSPP NCP GRANT
25/07/2020,12/11/2020,Semester 2,3,66,4,3,Mobility,no,yes,2020,99910,9/04/2020,5000,672,2020,HORNE 2021 DSPP NCP GRANT
25/07/2021,12/11/2021,Semester 2,3,64,1,1,Mobility,yes,yes,2021,99910,13/01/2018,5000,672,2018,SCHOFIELD 2019 DSPP NCP GRANT
28/02/2018,27/05/2018,Semester 1,4,2,4,4,Mobility,no,yes,2018,99910,10/08/2021,5000,672,2021,SUTHERLAND 2020 DSPP NCP GRANT
25/07/2018,12/11/2018,Semester 2,4,115,4,3,Mobility,no,yes,2018,99910,16/01/2019,5000,672,2019,ASHTON 2019 DSPP NCP GRANT
25/07/2018,12/11/2018,Semester 2,4,117,1,1,Mobility,yes,yes,2018,99910,8/12/2020,5000,672,2020,JEFFERSON 2018 DSPP NCP GRANT
25/07/2018,12/11/2018,Semester 2,4,122,4,3,Mobility,yes,yes,2018,99910,21/04/2019,5000,672,2019,HOUSTON 2018 DSPP NCP GRANT
28/02/2019,27/05/2019,Semester 1,4,119,5,5,Language,no,no,2019,99910,8/10/2018,5000,672,2018,HAINES 2020 DSPP NCP GRANT
25/07/2019,12/11/2019,Semester 2,4,121,4,4,Language,yes,yes,2019,99910,9/10/2018,6000,672,2018,EASTWOOD 2018 FLIP NCP GRANT
28/02/2020,27/05/2020,Semester 1,4,120,1,1,Mobility,no,yes,2020,99910,27/12/2020,6000,672,2020,DAVENPORT 2020 FLIP NCP GRANT
25/07/2020,12/11/2020,Semester 2,4,116,6,6,Mobility,no,no,2020,99910,20/07/2018,6000,672,2018,SUMNER 2018 FLIP NCP GRANT
25/07/2021,12/11/2021,Semester 2,4,118,2,1,Mobility,yes,yes,2021,99910,11/07/2021,6000,672,2021,FINNEGAN 2021 FLIP NCP GRANT
3/01/2018,6/02/2018,Summer,5,5,1,1,Mobility,yes,yes,2018,99910,30/03/2019,6000,672,2019,HOUSE 2019 FLIP NCP GRANT
19/11/2019,4/12/2019,Summer ,6,4,6,6,Mobility,no,yes,2019,99910,20/06/2020,6000,672,2020,CLEMONS 2020 FLIP NCP GRANT
28/02/2021,27/05/2021,Semester 2,7,6,2,1,Mobility,yes,yes,2021,99910,27/09/2019,6000,672,2019,MCCULLOUGH 2019 FLIP NCP GRANT
25/07/2018,12/11/2018,Semester 2,8,140,5,5,Mobility,no,yes,2018,99910,4/09/2018,6000,672,2018,BURRIS 2018 FLIP NCP GRANT
25/07/2018,12/11/2018,Semester 2,8,142,4,4,Mobility,yes,yes,2018,99910,4/10/2018,1500,672,2018,REYNOLDS 2020 ILSC NCP GRANT
25/07/2018,12/11/2018,Semester 2,8,147,5,5,Mobility,yes,yes,2018,99910,2/04/2020,1500,672,2020,SNYDER 2018 ILSC NCP GRANT
28/02/2019,27/05/2019,Semester 1,8,144,6,6,Language,no,no,2019,99910,21/10/2018,1500,672,2018,ROWLAND 2021 ILSC NCP GRANT
28/02/2019,27/05/2019,Semester 1,8,146,2,1,Language,yes,yes,2019,99910,2/05/2021,1500,672,2021,NORTH 2019 ILSC NCP GRANT
25/07/2019,12/11/2019,Semester 2,8,3,4,3,Internship,no,no,2019,99910,9/05/2019,1500,672,2019,MAC 2020 ILSC NCP GRANT
28/02/2020,27/05/2020,Semester 1,8,141,1,1,Mobility,no,no,2020,99910,22/02/2020,1500,672,2020,NORRIS 2019 ILSC NCP GRANT
28/02/2020,27/05/2020,Semester 1,8,145,1,1,Mobility,no,yes,2020,99910,22/01/2019,1500,672,2019,STANLEY 2018 ILSC NCP GRANT
28/02/2021,27/05/2021,Semester 1,8,143,4,3,Mobility,yes,yes,2021,99910,28/08/2018,1500,672,2018,MADDOX 2018 ILSC NCP GRANT
